path,analysis,group,blank
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-Phenazone-degr000001,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-Phenazone-degr000002,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-Phenazone-degr000003,phena_UV-1200,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-Phenazone-degr000007,MQ,MQ
